,8t_512m,8t_1g,8t_2g,8t_4g,16t_256m,16t_512m,16t_1g,16t_2g,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.05,0.07,0.06,0.11,0.09,0.1,0.09,0.08,0.15,0.15,0.11,0.13,0.33,0.26,0.19,0.29,0.87,0.68,0.46,0.79,2.86,2.05,1.34,1.06
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,1.31,2.23,2.64,2.79,2.95,4.14,4.89,5.73,6.51,9.44,9.5,10.75,12.92,17.33,18.76,22.51,24.99,32.46,37.56,40.06,51.57,62.76,76.27,80.91
iowait,0.01,0.01,0.07,0.07,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.03,0.01,0.01,0.01,0.03,0.01,0.02,0.03,0.04,0.02,0.02,0.02
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,98.64,97.69,97.23,97.03,96.95,95.76,95.01,94.19,93.33,90.41,90.38,89.12,86.72,82.4,81.05,77.18,74.11,66.85,61.96,59.13,45.54,35.16,22.37,18.01
throughput,4876.45,4884.58,4834.87,4390.54,6012.47,6019.95,5944.31,5956.3,6115.65,6118.28,6085.79,6062.25,6200.92,6233.9,6163.41,6147.22,5542.75,5597.5,5585.53,5535.81,3921.13,3958.06,3956.2,3953.08
latency(x1M),1188.0,3023.0,5834.0,11128.0,8225.0,9430.0,18729.0,37196.0,25697.0,27454.0,55181.0,110669.0,69219.0,61878.0,124537.0,250439.0,159461.0,147000.0,292696.0,588153.0,417680.0,440461.0,867754.0,1718404.0
m_count,48148.0,119053.0,236645.0,471921.0,237334.0,119975.0,237546.0,472234.0,238650.0,122009.0,239621.0,474419.0,242150.0,125937.0,243711.0,479481.0,249288.0,134759.0,252144.0,488394.0,265519.0,154442.0,272487.0,508214.0
