,128_32m_r10w90,128_32m_r50w50,128_32m_r90w10,128_64m_r10w90,128_64m_r50w50,128_64m_r90w10,128_128m_r10w90,128_128m_r50w50,128_128m_r90w10,128_256m_r10w90,128_256m_r50w50,128_256m_r90w10,256_16m_r10w90,256_16m_r50w50,256_16m_r90w10,256_32m_r10w90,256_32m_r50w50,256_32m_r90w10,256_64m_r10w90,256_64m_r50w50,256_64m_r90w10
throughputR,31222.65,53502.53,71559.96,33938.6,75932.26,96422.32,39267.46,87808.95,110438.73,39458.06,88317.62,53019.49,27750.28,29296.03,41469.6,37165.61,47621.68,60842.16,49465.15,63696.21,81678.49
throughputW,11323.0,9117.83,7963.31,11585.5,10376.62,7280.79,11475.7,10488.47,4412.66,11324.64,10795.45,4141.86,7921.13,5585.92,9193.25,8379.21,7194.7,9849.74,8603.13,8286.22,9902.24
