,128_32m_r10w90,128_32m_r50w50,128_32m_r90w10,128_64m_r10w90,128_64m_r50w50,128_64m_r90w10,128_128m_r10w90,128_128m_r50w50,128_128m_r90w10,128_256m_r10w90,128_256m_r50w50,128_256m_r90w10,256_16m_r10w90,256_16m_r50w50,256_16m_r90w10,256_32m_r10w90,256_32m_r50w50,256_32m_r90w10,256_64m_r10w90,256_64m_r50w50,256_64m_r90w10,256_128m_r90w10
throughputR,25936.78,53321.52,68186.41,33301.87,73297.86,85596.62,39446.48,81216.44,80618.76,36968.47,70653.47,55715.52,27376.62,24245.1,38568.61,35494.28,40885.05,57729.69,45612.27,45708.37,68593.08,54298.23
throughputW,10964.23,9570.78,8110.24,11250.58,10868.35,8080.29,11118.68,10295.16,4750.92,10162.27,10206.26,4231.7,6615.86,4478.63,7492.47,7157.75,6110.37,8448.21,7538.87,6945.86,9331.69,7690.76
