,9t,16t,36t,64t
usr,13.19,23.31,51.22,89.36
nice,0.0,0.0,0.0,0.0
system,0.31,0.43,0.88,1.9
iowait,0.05,0.11,0.66,0.41
steal,0.0,0.0,0.0,0.0
idle,86.45,76.15,47.25,8.33
throughput,333.43,589.88,1020.89,2295.44
latency(x1M),1019.0,844.0,796.0,1443.0
