,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,0.17,0.2,0.28,0.42,0.46,0.42,0.46,0.5,0.92,0.74,0.61,1.12,3.28,2.81,1.96,1.5
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,3.61,6.53,8.84,8.04,12.36,12.88,17.27,18.12,19.88,28.07,34.88,37.59,44.29,53.54,68.27,73.84
iowait,0.02,0.02,0.43,1.11,0.03,0.02,0.42,0.76,0.04,0.02,0.01,0.02,0.07,0.03,0.02,0.01
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,96.2,93.25,90.46,90.43,87.15,86.68,81.86,80.62,79.15,71.17,64.5,61.27,52.37,43.61,29.75,24.64
throughput,12317.22,12701.93,12510.59,9406.49,12663.68,13054.87,12835.05,11925.43,10043.59,10717.2,10924.35,10926.77,6438.61,7191.64,7501.85,7762.62
latency(x1M),2514.0,6288.0,11874.0,20559.0,12772.0,12034.0,22618.0,38260.0,16009.0,4145.0,7584.0,14328.0,7985.0,4887.0,8552.0,15658.0
m_count,49745.0,121706.0,239278.0,473075.0,241567.0,125500.0,242935.0,476796.0,248632.0,134356.0,251318.0,485932.0,264261.0,153617.0,271186.0,505297.0
