,32t_128m,32t_256m,32t_512m,32t_1g,64t_64m,64t_128m,64t_256m,64t_512m,128t_32m,128t_64m,128t_128m,128t_256m,256t_16m,256t_32m,256t_64m,256t_128m
usr,40.81,31.62,23.34,15.03,49.42,40.72,28.71,21.41,45.52,39.59,29.07,20.7,41.08,37.05,28.45,21.1
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,0.68,1.04,1.14,1.34,1.07,1.51,2.18,2.34,1.46,1.61,3.29,5.19,2.22,2.66,3.8,5.72
iowait,0.1,0.16,0.01,0.07,0.02,0.15,0.03,0.02,0.0,0.11,0.04,0.02,0.0,0.06,0.04,0.05
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,58.41,67.18,75.5,83.56,49.5,57.61,69.07,76.24,53.01,58.68,67.59,74.09,56.7,60.24,67.71,73.12
throughputR,209164.07,504882.33,790772.0,749149.0,551198.63,388379.53,549238.06,629289.37,394332.67,595512.0,522362.71,958136.0,120052.67,278757.33,782167.33,755189.67
throughputW,3686.07,3219.47,5709.7,5359.1,4321.97,4157.77,5642.53,7109.03,2695.43,2520.1,4811.57,6109.5,1758.63,1905.63,3310.0,4230.93
latency(x1M),722.0,3085.0,13851.0,28566.0,938.0,2080.0,34713.0,81507.0,2049.0,2769.0,46555.0,231208.0,11604.0,12076.0,25106.0,537646.0
m_count,52650.0,103012.0,355471.0,702661.0,50268.0,94372.0,301895.0,604086.0,60101.0,123088.0,298588.0,598397.0,85402.0,161560.0,292215.0,592102.0
