,128_32m_r10w90,128_32m_r50w50,128_32m_r90w10,128_64m_r10w90,128_64m_r50w50,128_64m_r90w10,128_128m_r10w90,128_128m_r50w50,128_128m_r90w10,128_256m_r10w90,128_256m_r50w50,128_256m_r90w10
throughputR,28774.92,55408.94,71306.43,34382.26,74945.81,96621.32,39528.98,89769.25,104562.46,40167.31,74562.06,55613.1
throughputW,11031.33,10071.23,7769.46,11500.58,11220.05,8087.77,11637.05,11727.47,5243.49,11473.76,10411.6,4234.55
