,256_16m_r10w90,256_16m_r50w50,256_16m_r90w10,256_32m_r10w90,256_32m_r50w50,256_32m_r90w10,256_64m_r10w90,256_64m_r50w50,256_64m_r90w10,256_128m_r10w90,256_128m_r90w10
throughputR,25655.97,24659.06,38524.86,38321.02,40735.07,58339.16,47717.86,57581.67,69688.47,54915.63,49049.84
throughputW,6451.0,4490.69,7223.35,7059.79,6005.99,8213.95,7422.81,7236.15,8868.22,7699.53,7802.65
