,128_32m_r10w90,128_32m_r50w50,128_32m_r90w10,128_64m_r10w90,128_64m_r50w50,128_64m_r90w10,128_128m_r10w90,128_128m_r50w50,128_128m_r90w10,128_256m_r10w90,128_256m_r50w50,128_256m_r90w10,256_16m_r10w90,256_16m_r50w50,256_16m_r90w10,256_32m_r10w90,256_32m_r50w50,256_32m_r90w10,256_64m_r10w90,256_64m_r50w50,256_64m_r90w10
throughputR,28865.55,46039.73,64817.68,35341.11,67372.92,90539.7,36218.33,83709.23,104350.6,38123.42,83714.93,55735.72,30097.4,22387.98,33373.63,42038.29,33691.33,52559.89,49416.17,49221.74,70342.25
throughputW,7706.39,7187.57,8459.48,7985.73,8208.31,7280.07,8101.69,8591.99,4054.49,8065.96,9260.21,4121.47,5104.5,3868.07,7952.28,5408.51,4802.07,8296.87,5606.6,5673.12,8725.77
