,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.35,0.33,0.27,0.26,0.4,0.42,0.34,0.34,0.66,0.62,0.48,0.67,1.25,1.63,1.9,1.52
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,3.05,4.34,5.72,7.4,5.46,10.88,13.87,16.99,19.97,32.11,34.48,36.25,54.95,71.96,71.61,30.79
iowait,0.06,0.06,0.04,0.03,0.25,0.06,0.04,0.05,0.08,0.04,0.02,5.0,0.15,0.09,2.13,55.98
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,96.54,95.27,93.97,92.31,93.89,88.64,85.75,82.62,79.3,67.24,65.02,58.08,43.66,26.32,24.36,11.7
throughput,5196.3,5233.45,5252.36,5260.49,8801.33,8876.32,8868.35,8742.82,10774.83,10882.8,10690.88,8698.0,11616.12,11336.45,10506.33,3004.27
latency(x1M),339.0,660.0,1311.0,2617.0,1001.0,1978.0,3939.0,7918.0,5879.0,11673.0,24272.0,42529.0,29619.0,60609.0,119129.0,109813.0
