,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.32,0.28,0.25,0.22,0.42,0.34,0.28,0.3,0.62,0.45,0.53,0.53,1.06,1.17,0.82,1.7
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,2.86,4.02,5.42,7.42,6.71,10.12,13.48,18.3,22.85,26.66,33.13,38.64,52.32,68.83,76.27,36.33
iowait,0.06,0.05,0.03,0.02,0.06,0.04,0.04,0.03,0.05,0.03,0.02,1.77,0.1,0.08,0.04,50.95
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,96.76,95.65,94.3,92.34,92.81,89.49,86.2,81.37,76.48,72.86,66.31,59.06,46.52,29.92,22.86,11.02
throughput,5833.42,5817.74,5868.36,5884.36,7832.72,7913.1,7882.11,7735.0,8108.37,8141.45,7960.7,7500.69,8380.16,8171.39,8157.84,3093.52
latency(x1M),183.0,371.0,734.0,1465.0,1658.0,3307.0,6666.0,13580.0,11493.0,22936.0,46790.0,89196.0,51502.0,104002.0,209190.0,206545.0
