,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.28,0.36,0.25,0.23,0.39,0.36,0.35,0.29,0.68,0.53,0.54,0.84,1.05,1.1,1.27,2.2
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,3.12,5.68,5.9,8.0,5.96,9.09,13.51,16.16,20.59,26.25,35.63,37.39,52.49,61.31,75.86,33.22
iowait,0.07,0.08,0.04,0.03,0.05,0.04,0.04,0.02,0.05,0.04,0.03,3.78,0.17,0.07,0.08,53.33
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,96.53,93.89,93.82,91.74,93.59,90.5,86.1,83.52,78.68,73.18,63.8,57.98,46.29,37.52,22.78,11.25
throughput,5853.4,5852.38,5889.43,5903.5,9424.77,9390.49,9367.56,9370.21,9802.62,9837.95,9796.85,8519.36,9928.63,9898.05,9780.11,3116.78
latency(x1M),139.0,279.0,558.0,1106.0,844.0,1750.0,3622.0,6911.0,8190.0,16500.0,33100.0,58150.0,41154.0,81837.0,162651.0,148393.0
