,128_32m_r10w90,128_32m_r50w50,128_32m_r90w10,128_64m_r10w90,128_64m_r50w50,128_64m_r90w10,128_128m_r10w90,128_128m_r50w50,128_128m_r90w10,128_256m_r10w90,128_256m_r50w50,128_256m_r90w10,256_16m_r10w90,256_16m_r50w50,256_16m_r90w10,256_32m_r10w90,256_32m_r50w50,256_32m_r90w10,256_64m_r10w90,256_64m_r50w50,256_64m_r90w10,256_128m_r10w90,256_128m_r90w10
throughputR,28774.92,55408.94,71306.43,34382.26,74945.81,96621.32,39528.98,89769.25,104562.46,40167.31,74562.06,55613.1,25655.97,24659.06,38524.86,38321.02,40735.07,58339.16,47717.86,57581.67,69688.47,54915.63,49049.84
throughputW,11031.33,10071.23,7769.46,11500.58,11220.05,8087.77,11637.05,11727.47,5243.49,11473.76,10411.6,4234.55,6451.0,4490.69,7223.35,7059.79,6005.99,8213.95,7422.81,7236.15,8868.22,7699.53,7802.65
