,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.34,0.36,0.27,0.27,0.44,0.42,0.31,0.39,0.67,0.49,0.54,0.69,1.27,0.99,1.2,1.94
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,3.44,4.41,6.26,7.29,6.47,11.29,14.21,18.54,21.84,28.02,33.26,35.77,55.96,61.63,78.12,35.15
iowait,0.08,0.04,0.04,0.02,0.07,0.05,0.03,0.02,0.05,0.03,0.03,2.98,0.08,0.09,0.05,53.04
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,96.14,95.18,93.44,92.42,93.02,88.24,85.45,81.05,77.44,71.46,66.17,60.56,42.69,37.29,20.63,9.87
throughput,5440.0,5441.18,5486.08,5488.09,8503.9,8535.15,8563.19,8447.16,8931.36,8993.95,8909.75,8047.35,9090.42,9069.09,8949.29,3085.52
latency(x1M),300.0,587.0,1172.0,2343.0,1239.0,2458.0,4884.0,9521.0,9686.0,19247.0,38281.0,68642.0,45958.0,91585.0,182212.0,173127.0
