,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.26,0.44,0.29,0.23,0.47,0.42,0.34,0.38,0.75,0.53,0.64,0.87,1.13,1.43,2.76,1.4
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,2.67,4.62,7.15,9.04,6.09,10.4,13.31,17.29,18.56,23.4,29.48,37.8,51.46,62.06,65.7,31.27
iowait,0.07,0.1,0.05,0.03,0.05,0.05,0.04,0.06,0.13,0.03,0.02,5.95,0.09,0.06,4.08,57.18
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,96.99,94.84,92.52,90.69,93.39,89.13,86.31,82.26,80.57,76.03,69.85,55.38,47.32,36.44,27.45,10.15
throughput,5501.0,5548.47,5572.83,5600.76,9629.25,9706.36,9718.63,9554.57,12831.93,13005.95,12764.1,9949.78,13451.07,13257.99,11399.06,3174.74
latency(x1M),279.0,539.0,1075.0,2135.0,771.0,1522.0,3021.0,5953.0,3760.0,7297.0,14430.0,24467.0,14708.0,27654.0,44175.0,46165.0
