,8t_128m,8t_256m,8t_512m,8t_1024m,16t_128m,16t_256m,16t_512m,16t_1024m,32t_128m,32t_256m,32t_512m,32t_1024m,64t_128m,64t_256m,64t_512m,64t_1024m
usr,0.36,0.26,0.29,0.23,0.4,0.35,0.32,0.29,0.7,0.47,0.46,0.35,0.96,0.96,0.89,1.41
nice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system,4.62,5.04,7.01,7.9,7.98,11.04,14.31,20.16,29.18,28.3,37.32,40.75,56.18,73.4,84.73,43.52
iowait,0.1,0.06,0.04,0.02,0.06,0.04,0.02,0.02,0.04,0.03,0.02,0.01,0.06,0.06,0.03,44.74
steal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idle,94.92,94.64,92.66,91.83,91.55,88.58,85.35,79.53,70.08,71.21,62.2,58.89,42.81,25.58,14.35,10.34
throughput,4963.43,4978.99,4971.61,4987.87,6114.46,6144.18,6135.97,6095.4,6195.31,6233.28,6188.24,6168.45,6282.35,6241.3,6209.62,3029.62
latency(x1M),443.0,886.0,1763.0,3511.0,2857.0,5676.0,11351.0,22536.0,16656.0,32975.0,66291.0,132048.0,72354.0,144162.0,287842.0,311900.0
