
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.04      0.00      0.27      0.00      0.00     99.69
                all      0.04      0.00      0.28      0.00      0.00     99.67
                all      0.04      0.00      0.10      0.18      0.00     99.69
                all      0.02      0.00      0.07      0.37      0.00     99.54
                all      0.01      0.00      0.07      0.36      0.00     99.55
                all      0.06      0.00      0.17      0.31      0.00     99.46
                all      0.03      0.00      0.13      0.06      0.00     99.79
                all      0.10      0.00      0.19      0.00      0.00     99.71
                all      0.23      0.00      0.31      0.00      0.00     99.46
                all      0.01      0.00      0.43      0.01      0.00     99.54
                all      0.02      0.00      0.46      0.00      0.00     99.52
                all      0.06      0.00      0.33      0.00      0.00     99.61
                all      0.01      0.00      0.07      0.00      0.00     99.91
                all      0.01      0.00      0.08      0.00      0.00     99.91
start----
                all      0.02      0.00      0.10      0.00      0.00     99.88
                all     54.22      0.00      0.71      0.00      0.00     45.06
                all     99.65      0.00      0.35      0.00      0.00      0.00
                all     99.43      0.00      0.57      0.00      0.00      0.00
                all     99.38      0.00      0.62      0.00      0.00      0.00
                all     99.53      0.00      0.47      0.00      0.00      0.00
                all     97.99      0.00      0.38      0.00      0.00      1.63
                all     78.37      0.00      0.66      0.00      0.00     20.97
                all      8.51      0.00      0.07      0.00      0.00     91.41
                all      0.38      0.00      0.07      0.00      0.00     99.55
                all      0.20      0.00      0.44      0.00      0.00     99.36
                all      0.10      0.00      0.36      0.00      0.00     99.54
                all      0.08      0.00      0.38      0.01      0.00     99.53
                all      0.11      0.00      0.40      0.01      0.00     99.48
                all      0.11      0.00      0.40      0.01      0.00     99.47
                all      0.10      0.00      0.36      0.01      0.00     99.53
                all      0.09      0.00      0.36      0.01      0.00     99.54
                all      0.13      0.00      0.45      0.01      0.00     99.42
                all      0.09      0.00      0.36      0.01      0.00     99.54
                all      0.09      0.00      0.37      0.01      0.00     99.53
                all      0.11      0.00      0.44      0.01      0.00     99.43
                all      0.09      0.00      0.37      0.01      0.00     99.53
                all      0.14      0.00      1.74      1.85      0.00     96.26
end------
                all      0.04      0.00      0.23      0.01      0.00     99.72
                all      0.11      0.00      0.44      0.00      0.00     99.45
                all      0.13      0.00      0.44      0.00      0.00     99.42
                all      0.13      0.00      0.44      0.00      0.00     99.44
start----
