
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.07      0.00      0.47      0.02      0.00     99.44
end------
                all      0.09      0.00      0.75      0.00      0.00     99.15
                all      0.10      0.00      0.54      0.00      0.00     99.36
                all      0.14      0.00      0.55      0.00      0.00     99.31
                all      0.12      0.00      0.45      0.00      0.00     99.43
                all      0.11      0.00      0.46      0.00      0.00     99.43
start----
                all      7.72      0.00      0.72      0.01      0.00     91.55
                all     99.40      0.00      0.60      0.00      0.00      0.00
                all     99.39      0.00      0.61      0.00      0.00      0.00
                all     99.69      0.00      0.31      0.00      0.00      0.00
                all     99.48      0.00      0.52      0.00      0.00      0.00
                all     98.12      0.00      0.54      0.00      0.00      1.34
                all     87.70      0.00      0.21      0.00      0.00     12.08
                all     40.04      0.00      0.11      0.00      0.00     59.86
                all      0.43      0.00      0.13      0.00      0.00     99.44
                all      0.26      0.00      0.11      0.00      0.00     99.63
                all      0.06      0.00      1.80      2.88      0.00     95.26
                all      0.10      0.00      1.21      4.38      0.00     94.31
                all      0.06      0.00      1.12      4.92      0.00     93.90
                all      0.03      0.00      0.45      0.23      0.00     99.30
end------
                all      0.08      0.00      0.70      0.00      0.00     99.22
                all      0.14      0.00      0.61      0.00      0.00     99.25
                all      0.11      0.00      0.45      0.00      0.00     99.43
                all      0.11      0.00      0.47      0.00      0.00     99.42
                all      0.17      0.00      0.54      0.00      0.00     99.29
start----
                all      4.66      0.00      0.69      0.01      0.00     94.64
                all     99.36      0.00      0.64      0.00      0.00      0.00
                all     99.05      0.00      0.95      0.00      0.00      0.00
                all     99.36      0.00      0.64      0.00      0.00      0.00
                all     99.65      0.00      0.35      0.00      0.00      0.00
                all     99.15      0.00      0.73      0.00      0.00      0.12
                all     95.74      0.00      0.40      0.00      0.00      3.86
                all     85.21      0.00      0.26      0.00      0.00     14.54
                all     37.03      0.00      0.11      0.00      0.00     62.86
                all      0.42      0.00      0.13      0.00      0.00     99.45
                all      0.25      0.00      0.10      0.00      0.00     99.64
                all      0.06      0.00      1.50      3.28      0.00     95.16
                all      0.07      0.00      1.17      4.14      0.00     94.62
                all      0.09      0.00      1.21      4.37      0.00     94.32
                all      0.02      0.00      0.43      0.05      0.00     99.50
end------
                all      0.09      0.00      0.75      0.00      0.00     99.15
                all      0.15      0.00      0.66      0.00      0.00     99.19
                all      0.12      0.00      0.45      0.00      0.00     99.42
                all      0.13      0.00      0.45      0.00      0.00     99.42
                all      0.15      0.00      0.52      0.00      0.00     99.33
start----
                all      3.24      0.00      0.74      0.01      0.00     96.01
                all     99.48      0.00      0.52      0.00      0.00      0.00
                all     99.28      0.00      0.72      0.00      0.00      0.00
                all     99.35      0.00      0.65      0.00      0.00      0.00
                all     99.16      0.00      0.84      0.00      0.00      0.00
                all     97.95      0.00      1.12      0.00      0.00      0.93
                all     90.36      0.00      1.01      0.00      0.00      8.62
                all     57.26      0.00      0.43      0.00      0.00     42.30
                all      0.57      0.00      0.06      0.00      0.00     99.37
                all      0.38      0.00      0.07      0.00      0.00     99.55
                all      0.21      0.00      0.35      0.00      0.00     99.44
                all      0.08      0.00      0.36      0.00      0.00     99.56
                all      0.07      0.00      0.38      0.00      0.00     99.54
                all      0.14      0.00      0.39      0.00      0.00     99.47
                all      0.11      0.00      0.34      0.01      0.00     99.54
                all      0.08      0.00      0.35      0.00      0.00     99.57
                all      0.10      0.00      0.40      0.00      0.00     99.51
                all      0.15      0.00      0.35      0.00      0.00     99.51
                all      0.09      0.00      0.34      0.00      0.00     99.57
                all      0.07      0.00      0.38      0.00      0.00     99.55
