
Linux 5.2.8200225+ (knl03.kisti.re.kr) 	05/30/2020 	_x86_64_	(272 CPU)

02:18:51 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:18:52 AM     all      0.03      0.00      0.10      0.00      0.00     99.88
02:18:53 AM     all      0.03      0.00      0.08      0.15      0.00     99.74
02:18:54 AM     all      0.01      0.00      0.07      0.36      0.00     99.55
02:18:55 AM     all      0.02      0.00      0.07      0.37      0.00     99.54
02:18:56 AM     all      0.01      0.00      0.08      0.35      0.00     99.55
02:18:57 AM     all      0.01      0.00      0.14      0.25      0.00     99.60
02:18:58 AM     all      0.03      0.00      0.11      0.07      0.00     99.79
02:18:59 AM     all      0.03      0.00      0.11      0.00      0.00     99.86
02:19:00 AM     all      0.08      0.00      0.19      0.10      0.00     99.64
02:19:01 AM     all      0.06      0.00      0.24      0.00      0.00     99.69
02:19:02 AM     all      0.02      0.00      0.07      0.00      0.00     99.91
02:19:03 AM     all      0.02      0.00      0.08      0.00      0.00     99.90
start----
02:19:04 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
02:19:05 AM     all     49.48      0.00      0.69      0.00      0.00     49.83
02:19:07 AM     all     99.68      0.00      0.32      0.00      0.00      0.00
02:19:09 AM     all     99.67      0.00      0.33      0.00      0.00      0.00
02:19:11 AM     all     99.69      0.00      0.31      0.00      0.00      0.00
02:19:13 AM     all     99.58      0.00      0.35      0.00      0.00      0.07
02:19:14 AM     all     97.07      0.00      0.57      0.00      0.00      2.36
02:19:15 AM     all     89.48      0.00      0.29      0.00      0.00     10.23
02:19:16 AM     all     54.82      0.00      0.11      0.00      0.00     45.07
02:19:17 AM     all      0.44      0.00      0.07      0.00      0.00     99.49
02:19:18 AM     all      0.41      0.00      0.14      0.00      0.00     99.45
02:19:19 AM     all      0.11      0.00      0.34      0.01      0.00     99.54
02:19:20 AM     all      0.09      0.00      0.36      0.01      0.00     99.53
02:19:21 AM     all      0.08      0.00      0.36      0.01      0.00     99.54
02:19:22 AM     all      0.09      0.00      0.36      0.01      0.00     99.54
02:19:23 AM     all      0.10      0.00      0.36      0.01      0.00     99.53
02:19:24 AM     all      0.09      0.00      0.36      0.01      0.00     99.54
02:19:25 AM     all      0.09      0.00      0.36      0.01      0.00     99.54
02:19:26 AM     all      0.09      0.00      0.36      0.01      0.00     99.54
02:19:27 AM     all      0.09      0.00      0.35      0.01      0.00     99.55
02:19:28 AM     all      0.10      0.00      0.37      0.01      0.00     99.53
02:19:29 AM     all      0.09      0.00      0.36      0.01      0.00     99.54
02:19:30 AM     all      0.07      0.00      0.44      0.31      0.00     99.18
02:19:31 AM     all      0.06      0.00      1.21      4.91      0.00     93.82
02:19:32 AM     all      0.04      0.00      0.51      1.74      0.00     97.71
02:19:33 AM     all      0.02      0.00      0.29      0.00      0.00     99.69
02:19:34 AM     all      0.01      0.00      0.07      0.00      0.00     99.92
02:19:35 AM     all      0.02      0.00      0.07      0.00      0.00     99.91
02:19:36 AM     all      0.01      0.00      0.07      0.00      0.00     99.92
02:19:37 AM     all      0.02      0.00      0.08      0.00      0.00     99.89
02:19:38 AM     all     50.43      0.00      0.65      0.00      0.00     48.92
02:19:40 AM     all     99.69      0.00      0.31      0.00      0.00      0.00
02:19:41 AM     all     99.57      0.00      0.43      0.00      0.00      0.00
02:19:42 AM     all     99.56      0.00      0.43      0.00      0.00      0.00
02:19:43 AM     all     99.32      0.00      0.53      0.00      0.00      0.15
02:19:44 AM     all     99.27      0.00      0.51      0.00      0.00      0.22
02:19:45 AM     all     99.23      0.00      0.50      0.00      0.00      0.27
02:19:46 AM     all     97.52      0.00      0.25      0.00      0.00      2.23
02:19:47 AM     all     94.41      0.00      0.35      0.00      0.00      5.24
02:19:48 AM     all     87.96      0.00      0.31      0.00      0.00     11.74
02:19:49 AM     all     43.74      0.00      0.11      0.00      0.00     56.15
02:19:50 AM     all      0.39      0.00      0.07      0.00      0.00     99.54
02:19:51 AM     all      0.29      0.00      0.10      0.00      0.00     99.61
02:19:52 AM     all      0.11      0.00      1.10      3.84      0.00     94.95
end------
02:19:53 AM     all      0.13      0.00      1.11      3.75      0.00     95.01
02:19:55 AM     all      0.15      0.00      0.63      0.03      0.00     99.19
02:19:56 AM     all      0.19      0.00      0.70      0.06      0.00     99.06
02:19:57 AM     all      0.16      0.00      0.50      0.00      0.00     99.34
02:19:58 AM     all      0.11      0.00      0.46      0.00      0.00     99.42
start----
02:19:59 AM     all     20.86      0.00      0.76      0.03      0.00     78.35
02:20:01 AM     all     99.54      0.00      0.46      0.00      0.00      0.00
02:20:03 AM     all     99.03      0.00      0.97      0.00      0.00      0.00
02:20:05 AM     all     99.20      0.00      0.80      0.00      0.00      0.00
02:20:07 AM     all     99.16      0.00      0.78      0.00      0.00      0.06
02:20:08 AM     all     97.32      0.00      0.70      0.00      0.00      1.98
02:20:09 AM     all     87.38      0.00      0.72      0.00      0.00     11.89
02:20:10 AM     all     32.57      0.00      0.18      0.00      0.00     67.24
02:20:11 AM     all      0.39      0.00      0.07      0.00      0.00     99.54
02:20:12 AM     all      0.30      0.00      0.26      0.01      0.00     99.43
02:20:13 AM     all      0.10      0.00      1.25      5.23      0.00     93.42
end------
02:20:14 AM     all      0.19      0.00      0.78      2.72      0.00     96.31
02:20:15 AM     all      0.01      0.00      0.48      0.06      0.00     99.44
02:20:16 AM     all      0.13      0.00      0.61      0.07      0.00     99.19
02:20:17 AM     all      0.12      0.00      0.46      0.00      0.00     99.42
02:20:18 AM     all      0.14      0.00      0.53      0.00      0.00     99.32
02:20:19 AM     all      0.12      0.00      0.46      0.00      0.00     99.41
start----
02:20:20 AM     all     28.01      0.00      0.88      0.04      0.00     71.07
02:20:22 AM     all     99.48      0.00      0.52      0.00      0.00      0.00
02:20:24 AM     all     99.43      0.00      0.57      0.00      0.00      0.00
02:20:26 AM     all     99.27      0.00      0.73      0.00      0.00      0.00
02:20:28 AM     all     99.33      0.00      0.57      0.00      0.00      0.10
02:20:29 AM     all     95.26      0.00      0.58      0.00      0.00      4.16
02:20:30 AM     all     84.87      0.00      0.45      0.03      0.00     14.65
02:20:31 AM     all     41.03      0.00      0.21      0.00      0.00     58.75
02:20:32 AM     all      0.40      0.00      0.12      0.00      0.00     99.47
02:20:33 AM     all      0.37      0.00      0.13      0.00      0.00     99.50
02:20:34 AM     all      0.11      0.00      0.33      0.00      0.00     99.55
02:20:35 AM     all      0.09      0.00      0.39      0.00      0.00     99.52
02:20:36 AM     all      0.11      0.00      0.35      0.00      0.00     99.55
02:20:37 AM     all      0.09      0.00      0.35      0.00      0.00     99.55
02:20:38 AM     all      0.11      0.00      0.36      0.01      0.00     99.51
02:20:39 AM     all      0.11      0.00      0.37      0.00      0.00     99.51
02:20:40 AM     all      0.11      0.00      0.34      0.02      0.00     99.53
02:20:41 AM     all      0.10      0.00      0.34      0.01      0.00     99.55
02:20:42 AM     all      0.09      0.00      0.38      0.01      0.00     99.53
02:20:43 AM     all      0.12      0.00      0.33      0.00      0.00     99.54
02:20:44 AM     all      0.08      0.00      0.35      0.00      0.00     99.57
02:20:45 AM     all      0.11      0.00      0.34      0.00      0.00     99.55
02:20:46 AM     all      0.11      0.00      0.38      0.00      0.00     99.51
02:20:47 AM     all      0.11      0.00      0.32      0.00      0.00     99.57
02:20:48 AM     all      0.09      0.00      0.33      0.03      0.00     99.55
02:20:49 AM     all      0.10      0.00      0.35      0.01      0.00     99.54
02:20:50 AM     all      0.11      0.00      0.33      0.00      0.00     99.55
02:20:51 AM     all      0.07      0.00      0.34      0.00      0.00     99.58
02:20:52 AM     all      0.11      0.00      0.32      0.00      0.00     99.57
02:20:53 AM     all      0.15      0.00      0.38      0.01      0.00     99.47
02:20:54 AM     all      0.12      0.00      0.39      0.00      0.00     99.49
02:20:55 AM     all      0.09      0.00      0.35      0.00      0.00     99.56
02:20:56 AM     all      0.04      0.00      4.87      0.97      0.00     94.12
02:20:57 AM     all      0.07      0.00      1.20      4.72      0.00     94.01
02:20:58 AM     all      0.06      0.00      1.19      5.11      0.00     93.64
02:20:59 AM     all      0.05      0.00      0.85      3.34      0.00     95.76
end------
02:21:00 AM     all      0.09      0.00      0.08      0.01      0.00     99.81
02:21:02 AM     all      0.14      0.00      0.67      0.01      0.00     99.18
